,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
105,Vitória,0–0,Bahia,"10,741",Raphael Claus,0,0,"https://fbref.com/en/matches/308882ce/Vitoria-Bahia-July-2-2017-Serie-A"">Match Report",55%,45%,79%,73%,33%,17%,100%,85%,17,11,36,651,20,12,23,7,1,5,18,60,16,5,18,573,17,14,15,47,2,14,14,63
106,Corinthians,1–0,Botafogo (RJ),"40,341",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/ea297afb/Corinthians-Botafogo-RJ-July-2-2017-Serie-A"">Match Report",66%,34%,89%,75%,50%,0%,%,88%,14,10,31,847,15,11,17,15,2,6,27,43,13,2,3,509,13,11,12,39,1,12,20,49
107,Avaí,0–0,Ponte Preta,"5,697",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/e731a817/Avai-Ponte-Preta-July-2-2017-Serie-A"">Match Report",44%,56%,78%,81%,30%,19%,100%,100%,14,6,22,634,19,28,17,13,3,8,20,53,25,5,23,729,15,11,12,29,0,9,35,71
108,Coritiba,2–2,Vasco da Gama,"8,020",Emerson De Almeida Ferreira,2,2,"https://fbref.com/en/matches/b2893ba6/Coritiba-Vasco-da-Gama-July-2-2017-Serie-A"">Match Report",61%,39%,80%,67%,29%,40%,50%,50%,17,8,22,612,13,11,11,16,2,10,34,50,20,5,19,457,26,12,15,37,1,11,25,61
109,Fluminense,3–3,Chapecoense,"7,536",Eduardo Tomaz De Aquino Valadão,3,3,"https://fbref.com/en/matches/8c13d55b/Fluminense-Chapecoense-July-3-2017-Serie-A"">Match Report",69%,31%,85%,70%,67%,30%,57%,62%,14,6,22,649,18,13,14,18,6,12,22,63,22,5,15,398,16,11,11,27,2,6,21,49
110,Atl Goianiense,1–2,Vitória,"2,857",Rafael Traci,1,2,"https://fbref.com/en/matches/cd8ab484/Atletico-Goianiense-Vitoria-July-8-2017-Serie-A"">Match Report",51%,49%,75%,75%,28%,67%,66%,80%,12,14,50,559,8,9,15,12,3,3,35,49,23,4,16,571,11,19,18,40,4,6,17,64
111,Vasco da Gama,0–1,Flamengo,"19,622",Anderson Daronco,0,1,"https://fbref.com/en/matches/30e15170/Classico-dos-Milhoes-Vasco-da-Gama-Flamengo-July-8-2017-Serie-A"">Match Report",41%,59%,74%,82%,10%,33%,66%,100%,23,6,24,485,16,16,10,27,2,7,27,56,15,9,27,630,11,19,14,37,2,5,22,50
112,Corinthians,2–0,Ponte Preta,"32,877",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/fbe5d8f5/Corinthians-Ponte-Preta-July-8-2017-Serie-A"">Match Report",49%,51%,82%,85%,62%,26%,100%,75%,17,2,9,667,16,20,14,20,1,12,22,55,8,5,26,693,13,25,8,13,4,2,21,57
113,Chapecoense,1–1,Atl Paranaense,"9,689",Caio Max Augusto Vieira,1,1,"https://fbref.com/en/matches/6e0d01e6/Chapecoense-Atletico-Paranaense-July-9-2017-Serie-A"">Match Report",44%,56%,80%,83%,24%,75%,66%,83%,17,10,47,556,16,11,13,16,0,2,21,53,13,2,11,721,15,13,15,57,4,13,24,60
114,Grêmio,0–2,Avaí,"27,222",Wagner Reway,0,2,"https://fbref.com/en/matches/d1e655a5/Gremio-Avai-July-9-2017-Serie-A"">Match Report",73%,27%,87%,65%,58%,38%,33%,100%,9,11,34,881,22,9,19,10,2,8,19,51,17,5,10,450,20,26,14,25,1,12,17,48
115,Bahia,1–1,Fluminense,"18,267",Flavio Rodrigues De Souza,1,1,"https://fbref.com/en/matches/199a3a26/Bahia-Fluminense-July-9-2017-Serie-A"">Match Report",72%,28%,89%,69%,26%,29%,0%,80%,16,10,39,830,16,15,14,9,2,7,17,41,18,2,10,431,24,9,10,42,1,14,12,62
116,Cruzeiro,3–1,Palmeiras,"19,090",Pericles Bassols Pegado Cortez,3,1,"https://fbref.com/en/matches/3d90d5c2/Cruzeiro-Palmeiras-July-9-2017-Serie-A"">Match Report",38%,62%,77%,81%,64%,13%,0%,42%,12,1,8,494,19,14,16,41,0,13,14,52,15,9,32,671,17,5,12,5,3,4,39,48
117,Santos,3–2,São Paulo,"10,322",Sandro Ricci,3,2,"https://fbref.com/en/matches/6ea0ee76/Santos-Sao-Paulo-July-9-2017-Serie-A"">Match Report",51%,49%,83%,82%,47%,36%,60%,62%,18,6,15,631,20,21,13,24,0,11,15,55,5,2,19,614,17,14,8,16,2,8,19,38
118,Botafogo (RJ),1–1,Atlético Mineiro,"9,630",Wilton Sampaio,1,1,"https://fbref.com/en/matches/ef0c2c47/Botafogo-RJ-Atletico-Mineiro-July-9-2017-Serie-A"">Match Report",56%,44%,81%,79%,27%,67%,83%,66%,14,4,30,721,14,13,9,17,1,2,30,77,27,7,20,593,16,21,12,28,1,7,22,52
119,Coritiba,0–3,Sport Recife,"10,192",Jailson Macêdo Freitas,0,3,"https://fbref.com/en/matches/b79d47eb/Coritiba-Sport-Recife-July-10-2017-Serie-A"">Match Report",59%,41%,80%,72%,38%,50%,66%,100%,16,10,32,610,8,10,15,19,2,9,29,34,18,2,14,497,19,24,13,37,2,9,19,56
120,Atlético Mineiro,0–1,Santos,"12,949",Marcelo de Lima Henrique,0,1,"https://fbref.com/en/matches/e080deb8/Atletico-Mineiro-Santos-July-12-2017-Serie-A"">Match Report",63%,37%,84%,75%,29%,30%,66%,85%,9,15,42,677,8,17,10,13,1,8,23,49,13,4,11,490,13,12,16,48,3,15,14,68
121,Ponte Preta,0–3,Bahia,"4,181",Rafael Traci,0,3,"https://fbref.com/en/matches/c3835738/Ponte-Preta-Bahia-July-12-2017-Serie-A"">Match Report",66%,34%,88%,75%,33%,64%,57%,100%,12,18,60,801,22,10,15,5,0,5,26,50,14,0,5,552,16,16,12,61,2,14,18,59
122,Fluminense,0–1,Botafogo (RJ),"14,851",Wagner Reway,0,1,"https://fbref.com/en/matches/cf4f74bd/Fluminense-Botafogo-RJ-July-12-2017-Serie-A"">Match Report",57%,43%,85%,80%,0%,31%,80%,%,13,6,25,675,17,17,12,15,0,8,19,56,20,7,24,558,23,20,17,21,2,9,22,53
123,Vitória,1–4,Vasco da Gama,"5,548",Antonio Dib Moraes de Sousa,1,4,"https://fbref.com/en/matches/46f4d072/Vitoria-Vasco-da-Gama-July-12-2017-Serie-A"">Match Report",67%,33%,79%,66%,29%,40%,25%,80%,16,8,36,706,8,7,15,14,3,1,33,60,14,9,17,452,20,14,11,50,5,10,16,67
