,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
636,Cruzeiro,2–1,Santos,"9,029",Braulio da Silva Machado,2,1,"https://fbref.com/en/matches/84247e7f/Cruzeiro-Santos-September-23-2018-Serie-A"">Match Report",46%,54%,83%,82%,67%,54%,85%,50%,17,4,17,623,13,11,18,29,1,8,26,41,12,6,17,701,20,9,13,21,1,4,24,63
637,Chapecoense,1–2,Fluminense,"5,170",Anderson Daronco,1,2,"https://fbref.com/en/matches/51a28dcf/Chapecoense-Fluminense-September-24-2018-Serie-A"">Match Report",57%,43%,80%,73%,36%,56%,60%,75%,19,7,35,607,19,8,17,10,1,2,36,44,19,2,13,509,17,14,17,27,0,12,28,69
638,Vasco da Gama,2–1,Bahia,"13,293",Leandro Pedro Vuaden,2,1,"https://fbref.com/en/matches/3083fa46/Vasco-da-Gama-Bahia-September-24-2018-Serie-A"">Match Report",61%,39%,83%,72%,30%,40%,83%,33%,12,4,17,677,9,10,23,27,6,5,30,74,15,8,22,465,12,13,25,34,1,9,17,58
639,Santos,1–1,Vasco da Gama,"12,985",Wagner Reway,1,1,"https://fbref.com/en/matches/7601bc89/Santos-Vasco-da-Gama-September-27-2018-Serie-A"">Match Report",53%,47%,84%,82%,23%,21%,66%,66%,11,10,27,622,15,10,20,19,3,9,16,47,17,6,17,582,17,19,18,24,0,9,26,51
640,Fluminense,0–1,Grêmio,"8,721",Raphael Claus,0,1,"https://fbref.com/en/matches/206debbf/Fluminense-Gremio-September-29-2018-Serie-A"">Match Report",50%,50%,87%,86%,14%,83%,80%,100%,10,7,15,704,21,16,17,11,0,3,11,53,13,2,9,701,13,15,13,20,1,11,17,54
641,América (MG),0–0,Corinthians,"8,012",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/b7013ad4/America-MG-Corinthians-September-29-2018-Serie-A"">Match Report",39%,61%,86%,92%,20%,44%,100%,100%,8,1,8,622,19,17,10,26,1,8,10,49,4,5,21,882,16,14,5,10,3,5,27,55
642,Bahia,0–0,Flamengo,"31,059",Igor Junior Benevenuto,0,0,"https://fbref.com/en/matches/0bc2f366/Bahia-Flamengo-September-29-2018-Serie-A"">Match Report",33%,68%,73%,84%,23%,45%,80%,100%,16,4,24,470,18,15,19,27,2,9,15,48,17,3,20,759,21,9,19,27,2,6,29,65
643,Palmeiras,3–1,Cruzeiro,"35,674",Dewson Fernando Freitas da Silva,3,1,"https://fbref.com/en/matches/2c73039a/Palmeiras-Cruzeiro-September-30-2018-Serie-A"">Match Report",45%,55%,76%,83%,20%,20%,0%,0%,15,7,23,502,20,12,20,9,3,3,24,54,19,2,9,567,16,5,12,30,1,10,23,41
644,Botafogo (RJ),2–2,São Paulo,"19,976",Rafael Traci,2,2,"https://fbref.com/en/matches/37ba29a2/Botafogo-RJ-Sao-Paulo-September-30-2018-Serie-A"">Match Report",40%,60%,73%,81%,44%,44%,71%,50%,20,7,21,489,20,14,27,47,2,7,22,56,18,7,30,621,17,11,29,28,2,8,14,47
645,Internacional,2–1,Vitória,"33,347",Savio Pereira,2,1,"https://fbref.com/en/matches/d9f6001a/Internacional-Vitoria-September-30-2018-Serie-A"">Match Report",60%,40%,83%,72%,38%,29%,50%,40%,19,7,29,644,7,18,21,14,3,2,23,50,18,0,7,483,16,18,17,28,1,9,23,59
646,Santos,1–0,Atl Paranaense,"7,802",Caio Max Augusto Vieira,1,0,"https://fbref.com/en/matches/33991db9/Santos-Atletico-Paranaense-September-30-2018-Serie-A"">Match Report",62%,38%,89%,76%,36%,40%,100%,80%,8,12,45,736,11,18,19,14,2,9,24,43,17,5,16,527,14,8,21,38,2,8,33,54
647,Atlético Mineiro,5–2,Sport Recife,"21,654",Leandro Bizzio Marinho,5,2,"https://fbref.com/en/matches/c2faaa63/Atletico-Mineiro-Sport-Recife-September-30-2018-Serie-A"">Match Report",62%,38%,88%,81%,36%,17%,0%,37%,18,6,22,713,13,11,16,11,2,9,26,63,16,6,17,500,13,14,11,29,0,9,13,43
648,Ceará,3–1,Chapecoense,"28,226",Wilton Sampaio,3,1,"https://fbref.com/en/matches/d080fefe/Ceara-Chapecoense-September-30-2018-Serie-A"">Match Report",45%,55%,78%,81%,46%,40%,50%,50%,15,5,15,520,21,14,14,22,0,9,23,51,20,8,24,591,19,13,15,15,1,8,23,55
649,Paraná,1–1,Vasco da Gama,"3,210",Flavio Rodrigues De Souza,1,1,"https://fbref.com/en/matches/20454d9a/Parana-Vasco-da-Gama-October-1-2018-Serie-A"">Match Report",41%,59%,76%,83%,25%,24%,75%,80%,15,11,22,500,2,18,20,29,2,11,19,53,11,5,25,656,10,10,15,24,2,12,18,64
650,Sport Recife,2–1,Internacional,"9,979",André Luiz de Freitas Castro,2,1,"https://fbref.com/en/matches/6f60298a/Sport-Recife-Internacional-October-5-2018-Serie-A"">Match Report",43%,58%,80%,85%,25%,29%,50%,33%,10,8,33,570,15,9,13,31,3,8,22,45,10,4,22,705,16,13,16,25,0,6,19,56
651,Corinthians,0–3,Flamengo,"41,693",Paulo Roberto Alves Júnior,0,3,"https://fbref.com/en/matches/4c054f1f/Corinthians-Flamengo-October-5-2018-Serie-A"">Match Report",53%,47%,85%,83%,27%,54%,57%,100%,9,4,19,699,17,11,10,27,1,6,26,56,18,10,26,634,15,17,12,17,0,8,30,49
652,Vitória,0–1,Santos,"7,478",Daniel Nobre Bins,0,1,"https://fbref.com/en/matches/96d0e3e3/Vitoria-Santos-October-5-2018-Serie-A"">Match Report",58%,42%,84%,80%,11%,25%,66%,100%,17,8,32,647,14,11,7,12,0,6,20,36,24,2,15,528,16,13,23,35,1,12,19,56
653,Atl Paranaense,4–0,América (MG),"11,443",Raphael Claus,4,0,"https://fbref.com/en/matches/279d3649/Atletico-Paranaense-America-MG-October-6-2018-Serie-A"">Match Report",63%,37%,91%,86%,40%,50%,100%,0%,10,5,22,838,10,10,6,10,1,4,24,57,13,1,9,546,13,19,9,19,3,8,21,48
654,Chapecoense,1–0,Atlético Mineiro,"10,074",Luiz Flávio de Oliveira,1,0,"https://fbref.com/en/matches/881db3e7/Chapecoense-Atletico-Mineiro-October-6-2018-Serie-A"">Match Report",37%,63%,76%,87%,11%,12%,100%,0%,20,5,25,497,19,9,22,45,2,9,27,51,15,9,29,721,22,11,22,25,1,12,25,46
655,São Paulo,0–2,Palmeiras,"56,694",Wilton Sampaio,0,2,"https://fbref.com/en/matches/0c5e39d2/Sao-Paulo-Palmeiras-October-6-2018-Serie-A"">Match Report",60%,40%,82%,67%,14%,50%,50%,100%,21,4,25,658,16,16,28,18,2,4,28,49,17,2,6,487,19,14,15,31,3,11,23,69
656,Grêmio,2–2,Bahia,"29,612",Rodolpho Toski Marques,2,2,"https://fbref.com/en/matches/e4c20345/Gremio-Bahia-October-6-2018-Serie-A"">Match Report",75%,25%,86%,66%,30%,50%,60%,66%,13,9,41,816,15,9,23,7,5,5,24,40,25,5,7,396,25,10,28,49,0,9,12,55
657,Fluminense,4–0,Paraná,"6,715",Marcelo Aparecido Ribeiro De Souza,4,0,"https://fbref.com/en/matches/d44b62a8/Fluminense-Parana-October-8-2018-Serie-A"">Match Report",70%,30%,92%,77%,53%,0%,%,44%,8,8,31,808,15,10,9,16,3,5,17,45,18,2,12,423,16,14,13,23,0,7,19,43
658,Botafogo (RJ),1–1,Vasco da Gama,"10,059",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/5aa2dc2c/Botafogo-RJ-Vasco-da-Gama-October-9-2018-Serie-A"">Match Report",51%,49%,83%,83%,28%,40%,100%,80%,13,7,24,622,13,14,27,25,0,2,10,45,13,6,24,606,15,7,18,29,0,11,15,60
659,Flamengo,3–0,Fluminense,"52,924",Wilton Sampaio,3,0,"https://fbref.com/en/matches/d357f155/Flamengo-Fluminense-October-13-2018-Serie-A"">Match Report",51%,49%,82%,82%,38%,38%,100%,33%,16,6,18,580,17,10,22,17,0,8,12,41,15,3,14,570,19,8,15,18,0,9,17,47
660,Santos,1–0,Corinthians,"26,428",Péricles Bassols Pegado Cortez,1,0,"https://fbref.com/en/matches/77d6f9d2/Santos-Corinthians-October-13-2018-Serie-A"">Match Report",44%,56%,77%,82%,33%,25%,100%,75%,19,5,14,558,17,17,27,9,3,7,37,46,19,2,11,661,20,16,13,19,1,11,27,53
661,Bahia,2–0,Paraná,"29,215",Jean Pierre Goncalves Lima,2,0,"https://fbref.com/en/matches/19ff2095/Bahia-Parana-October-13-2018-Serie-A"">Match Report",68%,32%,87%,68%,37%,43%,100%,71%,5,12,44,748,13,15,15,9,3,2,25,35,10,1,9,461,21,15,21,41,0,15,13,65
662,Chapecoense,0–1,Vitória,"6,280",Leandro Pedro Vuaden,0,1,"https://fbref.com/en/matches/f20ebb00/Chapecoense-Vitoria-October-14-2018-Serie-A"">Match Report",57%,43%,78%,72%,7%,18%,66%,100%,14,7,35,643,23,19,25,14,1,14,38,63,20,3,14,541,22,7,14,46,0,18,24,62
663,Internacional,3–1,São Paulo,"41,640",Braulio da Silva Machado,3,1,"https://fbref.com/en/matches/b40f564d/Internacional-Sao-Paulo-October-14-2018-Serie-A"">Match Report",57%,43%,83%,73%,35%,11%,0%,50%,16,6,23,567,22,7,18,14,6,5,12,50,23,4,14,454,7,4,22,24,1,7,23,54
664,Palmeiras,2–0,Grêmio,"35,812",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/ee049e37/Palmeiras-Gremio-October-14-2018-Serie-A"">Match Report",34%,66%,75%,88%,75%,0%,%,50%,16,4,16,482,14,15,15,20,0,5,20,51,16,5,10,806,12,11,16,23,0,7,16,46
665,Vasco da Gama,2–0,Cruzeiro,"11,376",Marcelo Aparecido Ribeiro De Souza,2,0,"https://fbref.com/en/matches/9498dced/Vasco-da-Gama-Cruzeiro-October-14-2018-Serie-A"">Match Report",55%,45%,87%,82%,33%,23%,100%,50%,14,10,25,695,10,10,8,24,1,7,15,45,17,9,22,588,13,8,12,21,1,8,14,46
666,Atlético Mineiro,0–0,América (MG),"20,526",Flavio Rodrigues De Souza,0,0,"https://fbref.com/en/matches/d5340adb/Atletico-Mineiro-America-MG-October-14-2018-Serie-A"">Match Report",59%,41%,87%,84%,20%,53%,100%,100%,16,16,32,686,12,14,10,13,1,8,24,43,15,3,11,548,11,12,13,34,2,11,22,46
667,Atl Paranaense,4–0,Sport Recife,"9,139",Wagner Reway,4,0,"https://fbref.com/en/matches/0f328c6b/Atletico-Paranaense-Sport-Recife-October-14-2018-Serie-A"">Match Report",69%,31%,91%,77%,32%,29%,100%,44%,12,10,44,727,3,11,17,12,0,6,15,39,12,3,12,401,9,9,9,36,2,15,12,53
668,Ceará,0–0,Botafogo (RJ),"29,946",Raphael Claus,0,0,"https://fbref.com/en/matches/9d5c02cc/Ceara-Botafogo-RJ-October-15-2018-Serie-A"">Match Report",56%,44%,85%,78%,33%,0%,%,100%,13,6,28,663,18,10,10,18,1,10,20,60,10,3,14,577,16,9,24,35,1,12,18,59
669,América (MG),1–1,Grêmio,"5,821",Luiz Flávio de Oliveira,1,1,"https://fbref.com/en/matches/e867e307/America-MG-Gremio-October-20-2018-Serie-A"">Match Report",52%,48%,82%,85%,30%,31%,75%,66%,17,5,21,642,13,16,12,12,1,12,28,58,8,4,11,627,8,12,14,29,2,7,13,47
670,Botafogo (RJ),0–1,Bahia,"8,180",Anderson Daronco,0,1,"https://fbref.com/en/matches/b414f586/Botafogo-RJ-Bahia-October-20-2018-Serie-A"">Match Report",65%,35%,84%,69%,44%,22%,50%,100%,10,8,26,687,14,20,26,16,0,7,29,68,21,2,7,439,18,8,26,33,0,7,19,63
671,São Paulo,0–0,Atl Paranaense,"13,053",Péricles Bassols Pegado Cortez,0,0,"https://fbref.com/en/matches/0aebac6d/Sao-Paulo-Atletico-Paranaense-October-20-2018-Serie-A"">Match Report",32%,68%,73%,84%,42%,10%,100%,80%,20,4,23,440,19,15,23,28,5,7,19,54,15,7,20,747,10,11,16,28,2,10,20,74
672,Sport Recife,2–1,Vasco da Gama,"13,860",Wilton Sampaio,2,1,"https://fbref.com/en/matches/61bf01fc/Sport-Recife-Vasco-da-Gama-October-20-2018-Serie-A"">Match Report",49%,52%,82%,82%,44%,25%,66%,57%,16,1,8,602,12,11,17,10,1,6,12,57,18,4,15,630,13,15,16,14,0,12,21,61
673,Vitória,2–2,Corinthians,"17,982",Rafael Traci,2,2,"https://fbref.com/en/matches/c47b7bd5/Vitoria-Corinthians-October-21-2018-Serie-A"">Match Report",44%,56%,81%,81%,50%,44%,25%,66%,18,5,25,583,16,17,13,28,1,5,25,50,23,5,14,681,16,12,16,18,1,11,29,57
674,Fluminense,1–0,Atlético Mineiro,"4,762",Jean Pierre Goncalves Lima,1,0,"https://fbref.com/en/matches/c4301572/Fluminense-Atletico-Mineiro-October-21-2018-Serie-A"">Match Report",54%,46%,82%,78%,46%,17%,100%,83%,14,4,19,685,9,12,6,20,2,10,22,52,19,7,18,595,9,12,23,30,0,8,16,57
675,Palmeiras,2–1,Ceará,"36,323",André Luiz de Freitas Castro,2,1,"https://fbref.com/en/matches/130d45e2/Palmeiras-Ceara-October-21-2018-Serie-A"">Match Report",39%,61%,76%,87%,38%,33%,71%,66%,14,4,5,475,17,5,22,35,1,11,20,48,13,12,36,644,11,7,12,18,2,8,19,48
676,Cruzeiro,3–0,Chapecoense,"12,666",Raphael Claus,3,0,"https://fbref.com/en/matches/5eb7893c/Cruzeiro-Chapecoense-October-21-2018-Serie-A"">Match Report",54%,46%,83%,82%,42%,13%,100%,40%,9,4,14,708,16,10,14,25,1,13,24,53,15,4,22,611,12,13,10,18,1,11,22,48
677,Paraná,0–4,Flamengo,"4,271",Braulio da Silva Machado,0,4,"https://fbref.com/en/matches/d4575b05/Parana-Flamengo-October-21-2018-Serie-A"">Match Report",32%,68%,75%,89%,29%,55%,33%,100%,17,4,11,491,21,14,12,23,1,8,13,61,13,1,20,882,20,7,14,14,2,5,28,35
678,Internacional,2–2,Santos,"38,492",Ricardo Marques Ribeiro,2,2,"https://fbref.com/en/matches/1dae3d33/Internacional-Santos-October-22-2018-Serie-A"">Match Report",49%,51%,82%,78%,64%,38%,66%,66%,14,5,26,598,16,13,15,21,2,7,25,41,15,7,16,615,17,15,15,26,2,10,23,56
679,Cruzeiro,0–2,Ceará,"30,814",Flavio Rodrigues De Souza,0,2,"https://fbref.com/en/matches/75f02c59/Cruzeiro-Ceara-October-24-2018-Serie-A"">Match Report",62%,38%,87%,79%,33%,43%,33%,100%,6,10,30,737,10,8,14,10,2,7,22,46,18,1,12,523,16,11,9,38,1,15,13,74
680,Vitória,0–1,São Paulo,"11,283",Leandro Pedro Vuaden,0,1,"https://fbref.com/en/matches/2266dea2/Vitoria-Sao-Paulo-October-26-2018-Serie-A"">Match Report",61%,39%,88%,77%,20%,43%,83%,100%,8,4,29,717,17,13,14,22,0,8,19,38,24,6,15,498,19,12,25,31,0,9,20,55
681,Vasco da Gama,1–1,Internacional,"8,648",Igor Junior Benevenuto,1,1,"https://fbref.com/en/matches/69052910/Vasco-da-Gama-Internacional-October-26-2018-Serie-A"">Match Report",49%,51%,82%,81%,44%,33%,66%,85%,17,6,15,552,15,10,16,18,1,7,17,56,19,4,13,576,23,10,23,30,2,9,20,54
682,Santos,3–0,Fluminense,"8,680",Heber Roberto Lopes,3,0,"https://fbref.com/en/matches/d360d038/Santos-Fluminense-October-27-2018-Serie-A"">Match Report",70%,30%,86%,65%,42%,13%,100%,60%,15,12,38,742,11,15,20,13,2,4,25,40,17,2,10,421,22,16,15,27,1,9,22,56
683,Grêmio,3–4,Sport Recife,"12,165",Dewson Fernando Freitas da Silva,3,4,"https://fbref.com/en/matches/e8794da7/Gremio-Sport-Recife-October-27-2018-Serie-A"">Match Report",68%,32%,86%,71%,24%,50%,0%,25%,10,10,30,862,17,12,16,20,0,7,30,43,16,0,5,502,30,17,22,30,0,10,19,55
684,Flamengo,1–1,Palmeiras,"65,102",Rafael Traci,1,1,"https://fbref.com/en/matches/d6fa2874/Flamengo-Palmeiras-October-27-2018-Serie-A"">Match Report",71%,30%,83%,62%,18%,38%,66%,75%,19,15,42,726,16,14,20,11,0,4,29,43,17,4,8,424,15,13,25,40,2,14,19,65
685,Corinthians,2–1,Bahia,"35,382",Anderson Daronco,2,1,"https://fbref.com/en/matches/b8bc1693/Corinthians-Bahia-October-27-2018-Serie-A"">Match Report",55%,45%,80%,77%,21%,18%,50%,33%,11,5,25,638,13,20,15,21,2,15,28,70,15,5,12,562,16,11,18,29,0,10,31,45
686,Chapecoense,1–0,América (MG),"13,238",Wilton Sampaio,1,0,"https://fbref.com/en/matches/4a229170/Chapecoense-America-MG-October-27-2018-Serie-A"">Match Report",40%,60%,76%,82%,44%,25%,100%,75%,12,4,32,532,14,20,30,23,1,6,25,64,24,4,20,674,20,10,20,20,1,4,32,59
687,Atl Paranaense,2–1,Botafogo (RJ),"7,133",Marcelo Aparecido Ribeiro De Souza,2,1,"https://fbref.com/en/matches/39e29f2f/Atletico-Paranaense-Botafogo-RJ-October-27-2018-Serie-A"">Match Report",70%,30%,88%,74%,44%,44%,75%,71%,19,5,24,743,12,5,20,10,1,5,19,68,30,2,12,415,17,16,15,27,1,17,19,55
688,Cruzeiro,3–1,Paraná,"18,755",Marcelo de Lima Henrique,3,1,"https://fbref.com/en/matches/2bb97fe1/Cruzeiro-Parana-October-27-2018-Serie-A"">Match Report",61%,39%,89%,86%,38%,0%,%,40%,13,9,27,765,17,11,10,6,3,6,17,48,18,0,8,568,6,21,8,34,1,5,16,46
689,Ceará,2–1,Atlético Mineiro,"37,394",Wagner Reway,2,1,"https://fbref.com/en/matches/4c36fc5f/Ceara-Atletico-Mineiro-October-29-2018-Serie-A"">Match Report",38%,63%,76%,88%,45%,21%,66%,60%,13,3,19,482,13,7,20,26,2,9,26,52,21,6,21,692,20,16,19,29,3,6,17,40
690,Fluminense,0–1,Vasco da Gama,"14,275",Luiz Flávio de Oliveira,0,1,"https://fbref.com/en/matches/7dcf8417/Fluminense-Vasco-da-Gama-November-3-2018-Serie-A"">Match Report",66%,34%,85%,72%,23%,40%,75%,100%,14,9,26,736,13,8,21,13,1,3,24,59,12,2,14,455,26,13,13,26,2,17,17,55
691,Atlético Mineiro,0–1,Grêmio,"16,758",Wagner do Nascimento Magalhaes,0,1,"https://fbref.com/en/matches/3c4e9e97/Atletico-Mineiro-Gremio-November-3-2018-Serie-A"">Match Report",56%,44%,84%,78%,12%,54%,85%,50%,12,8,30,697,15,10,21,28,0,9,28,46,12,3,6,610,19,13,17,38,4,14,22,70
692,Palmeiras,3–2,Santos,"38,938",Braulio da Silva Machado,3,2,"https://fbref.com/en/matches/18a6232c/Palmeiras-Santos-November-3-2018-Serie-A"">Match Report",40%,61%,77%,86%,45%,83%,60%,40%,26,3,12,467,21,6,18,14,0,5,18,58,23,5,19,643,9,13,12,11,0,5,20,38
693,Paraná,1–1,Vitória,931,Raphael Claus,1,1,"https://fbref.com/en/matches/6ee30476/Parana-Vitoria-November-4-2018-Serie-A"">Match Report",45%,55%,72%,76%,20%,36%,60%,0%,19,2,17,546,28,18,25,38,0,8,30,59,19,5,33,619,24,14,24,35,2,3,34,51
694,América (MG),1–2,Cruzeiro,"9,423",Heber Roberto Lopes,1,2,"https://fbref.com/en/matches/4b0e238f/America-MG-Cruzeiro-November-4-2018-Serie-A"">Match Report",54%,46%,83%,82%,31%,30%,33%,80%,18,8,31,684,14,6,15,5,0,13,27,47,8,2,16,644,16,16,12,27,1,8,23,55
695,São Paulo,2–2,Flamengo,"32,612",Wilton Sampaio,2,2,"https://fbref.com/en/matches/bcfe5803/Sao-Paulo-Flamengo-November-4-2018-Serie-A"">Match Report",38%,62%,71%,80%,43%,40%,75%,33%,17,8,19,515,15,14,25,29,1,13,28,69,13,7,34,700,23,11,18,19,0,5,23,50
696,Botafogo (RJ),1–0,Corinthians,"21,463",Leandro Pedro Vuaden,1,0,"https://fbref.com/en/matches/fcd23da2/Botafogo-RJ-Corinthians-November-4-2018-Serie-A"">Match Report",40%,61%,75%,80%,28%,56%,100%,100%,25,5,16,484,11,15,38,47,0,7,19,55,19,3,30,625,11,7,32,19,1,11,23,65
697,Bahia,1–0,Chapecoense,"17,448",Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/e6698833/Bahia-Chapecoense-November-4-2018-Serie-A"">Match Report",60%,40%,80%,71%,40%,25%,100%,83%,15,5,25,628,23,10,16,17,1,9,29,72,22,3,14,507,24,16,31,26,5,12,22,64
698,Internacional,2–1,Atl Paranaense,"23,318",Rodrigo D'Alonso Ferreira,2,1,"https://fbref.com/en/matches/817c33ed/Internacional-Atletico-Paranaense-November-4-2018-Serie-A"">Match Report",63%,37%,84%,79%,42%,44%,75%,60%,9,11,38,718,23,11,24,12,1,4,28,63,20,5,8,503,10,11,10,34,1,15,16,61
699,Sport Recife,1–0,Ceará,"25,002",Anderson Daronco,1,0,"https://fbref.com/en/matches/cd8ab882/Sport-Recife-Ceara-November-5-2018-Serie-A"">Match Report",51%,49%,76%,78%,50%,15%,100%,60%,13,8,23,608,14,14,21,14,1,9,24,66,16,3,15,614,18,15,26,34,1,8,17,62
700,América (MG),0–1,Paraná,"5,074",Wagner Reway,0,1,"https://fbref.com/en/matches/c36755b7/America-MG-Parana-November-10-2018-Serie-A"">Match Report",65%,35%,83%,66%,6%,25%,50%,100%,10,13,27,698,18,12,13,10,8,5,24,38,10,6,13,475,17,22,12,32,1,14,15,59
701,Corinthians,1–1,São Paulo,"42,845",Rodolpho Toski Marques,1,1,"https://fbref.com/en/matches/7bbfda02/Classico-Majestoso-Corinthians-Sao-Paulo-November-10-2018-Serie-A"">Match Report",47%,53%,76%,81%,33%,20%,50%,80%,10,7,22,531,6,15,14,17,1,14,21,65,18,2,16,581,13,13,30,34,4,10,17,52
702,Botafogo (RJ),2–1,Flamengo,"19,267",Braulio da Silva Machado,2,1,"https://fbref.com/en/matches/f9b7e0c7/Botafogo-RJ-Flamengo-November-10-2018-Serie-A"">Match Report",34%,66%,68%,81%,31%,31%,75%,50%,30,4,13,431,10,9,17,25,4,14,14,73,16,3,23,676,11,6,24,13,2,7,20,50
703,Atl Paranaense,2–0,Cruzeiro,"7,720",Anderson Daronco,2,0,"https://fbref.com/en/matches/5c936572/Atletico-Paranaense-Cruzeiro-November-10-2018-Serie-A"">Match Report",45%,55%,83%,88%,36%,25%,100%,50%,16,4,12,600,12,13,13,19,0,6,14,75,14,3,19,709,9,10,13,10,1,5,27,45
704,Ceará,1–1,Internacional,"43,575",Dewson Fernando Freitas da Silva,1,1,"https://fbref.com/en/matches/100fc52d/Ceara-Internacional-November-11-2018-Serie-A"">Match Report",40%,60%,83%,84%,24%,80%,75%,80%,11,6,27,541,10,7,19,30,2,5,22,48,15,5,15,688,21,5,23,27,1,12,21,56
705,Vitória,2–2,Bahia,"21,714",Luiz Flávio de Oliveira,2,2,"https://fbref.com/en/matches/ef8080d3/Vitoria-Bahia-November-11-2018-Serie-A"">Match Report",50%,50%,73%,70%,33%,18%,0%,66%,18,4,13,517,13,11,15,20,3,10,27,67,25,5,19,486,12,9,27,11,3,8,19,73
706,Grêmio,2–1,Vasco da Gama,"20,763",Raphael Claus,2,1,"https://fbref.com/en/matches/673d5819/Gremio-Vasco-da-Gama-November-11-2018-Serie-A"">Match Report",71%,29%,89%,71%,21%,33%,50%,25%,12,7,27,802,16,9,20,14,1,7,20,40,17,2,10,405,15,9,12,22,0,12,14,60
707,Atlético Mineiro,1–1,Palmeiras,"20,488",Wilton Sampaio,1,1,"https://fbref.com/en/matches/19118acd/Atletico-Mineiro-Palmeiras-November-11-2018-Serie-A"">Match Report",55%,45%,79%,73%,44%,43%,66%,87%,22,6,15,608,12,13,16,29,0,7,22,42,14,4,14,505,20,7,15,17,4,10,21,63
708,Fluminense,0–0,Sport Recife,"12,256",Flavio Rodrigues De Souza,0,0,"https://fbref.com/en/matches/f5b6fb60/Fluminense-Sport-Recife-November-11-2018-Serie-A"">Match Report",61%,39%,85%,73%,44%,0%,%,100%,18,4,26,767,23,11,22,14,3,5,29,38,16,5,13,534,15,7,18,25,2,9,24,72
709,Santos,0–1,Chapecoense,"12,659",Rafael Traci,0,1,"https://fbref.com/en/matches/ae7cc535/Santos-Chapecoense-November-12-2018-Serie-A"">Match Report",63%,37%,79%,61%,11%,43%,66%,100%,15,5,29,699,15,16,24,16,3,6,51,53,24,4,16,473,27,10,14,27,4,15,25,76
710,Vasco da Gama,1–1,Atl Paranaense,"20,917",Leandro Pedro Vuaden,1,1,"https://fbref.com/en/matches/95600054/Vasco-da-Gama-Atletico-Paranaense-November-14-2018-Serie-A"">Match Report",46%,54%,83%,84%,50%,29%,80%,87%,13,5,22,600,23,10,10,45,0,7,14,69,9,7,31,685,11,15,21,22,4,1,32,44
711,Bahia,2–1,Ceará,"17,825",Raphael Claus,2,1,"https://fbref.com/en/matches/3953b88f/Bahia-Ceara-November-14-2018-Serie-A"">Match Report",62%,38%,86%,79%,48%,43%,66%,81%,11,10,30,741,19,14,24,9,0,2,14,40,15,0,5,551,20,8,15,36,1,7,24,74
712,Paraná,0–1,Atlético Mineiro,"1,140",Wagner do Nascimento Magalhaes,0,1,"https://fbref.com/en/matches/30843fac/Parana-Atletico-Mineiro-November-14-2018-Serie-A"">Match Report",24%,76%,67%,90%,20%,36%,75%,100%,19,0,8,386,20,14,11,17,0,16,20,40,14,5,15,858,14,11,12,20,2,2,22,52
713,Sport Recife,0–0,Vitória,"22,652",Anderson Daronco,0,0,"https://fbref.com/en/matches/ab126d49/Sport-Recife-Vitoria-November-14-2018-Serie-A"">Match Report",55%,45%,74%,75%,14%,46%,100%,100%,21,7,15,565,15,5,11,13,2,7,21,64,17,8,26,509,9,12,16,29,3,10,19,47
714,Palmeiras,3–0,Fluminense,"37,430",Braulio da Silva Machado,3,0,"https://fbref.com/en/matches/97f946ba/Palmeiras-Fluminense-November-14-2018-Serie-A"">Match Report",47%,53%,76%,80%,37%,40%,100%,57%,20,6,22,502,14,10,14,21,2,9,23,57,24,4,23,564,11,13,20,28,3,4,21,44
715,Cruzeiro,1–0,Corinthians,"15,520",Jean Pierre Goncalves Lima,1,0,"https://fbref.com/en/matches/ce2d0306/Cruzeiro-Corinthians-November-14-2018-Serie-A"">Match Report",47%,53%,85%,87%,38%,36%,100%,80%,13,6,16,625,6,10,23,37,1,4,17,48,6,10,25,708,13,18,19,28,1,8,25,70
716,Chapecoense,0–1,Botafogo (RJ),"17,261",Luiz Flávio de Oliveira,0,1,"https://fbref.com/en/matches/15488198/Chapecoense-Botafogo-RJ-November-15-2018-Serie-A"">Match Report",50%,50%,73%,72%,22%,40%,75%,100%,12,10,36,548,10,13,20,12,1,5,35,60,14,5,13,553,20,4,24,43,1,15,28,73
717,Flamengo,1–0,Santos,"46,067",Paulo Roberto Alves Júnior,1,0,"https://fbref.com/en/matches/4660a829/Flamengo-Santos-November-15-2018-Serie-A"">Match Report",56%,44%,84%,80%,20%,36%,100%,75%,22,8,20,610,22,8,18,11,0,5,13,42,18,2,9,537,12,16,24,18,0,11,18,53
