0,1,2,3,4,5,6,7,8,9,10,11
"[('18', 'Fouls', '5')]","[('6', 'Corners', '2')]","[('15', 'Crosses', '19')]","[('631', 'Touches', '614')]","[('20', 'Tackles', '17')]","[('21', 'Interceptions', '14')]","[('13', 'Aerials Won', '8')]","[('24', 'Clearances', '16')]","[('0', 'Offsides', '2')]","[('11', 'Goal Kicks', '8')]","[('15', 'Throw Ins', '19')]","[('55', 'Long Balls', '38')]"
"[('12', 'Fouls', '14')]","[('18', 'Corners', '0')]","[('60', 'Crosses', '5')]","[('801', 'Touches', '552')]","[('22', 'Tackles', '16')]","[('10', 'Interceptions', '16')]","[('15', 'Aerials Won', '12')]","[('5', 'Clearances', '61')]","[('0', 'Offsides', '2')]","[('5', 'Goal Kicks', '14')]","[('26', 'Throw Ins', '18')]","[('50', 'Long Balls', '59')]"
"[('16', 'Fouls', '14')]","[('8', 'Corners', '9')]","[('36', 'Crosses', '17')]","[('706', 'Touches', '452')]","[('8', 'Tackles', '20')]","[('7', 'Interceptions', '14')]","[('15', 'Aerials Won', '11')]","[('14', 'Clearances', '50')]","[('3', 'Offsides', '5')]","[('1', 'Goal Kicks', '10')]","[('33', 'Throw Ins', '16')]","[('60', 'Long Balls', '67')]"
"[('12', 'Fouls', '20')]","[('8', 'Corners', '2')]","[('28', 'Crosses', '5')]","[('780', 'Touches', '572')]","[('9', 'Tackles', '15')]","[('10', 'Interceptions', '22')]","[('10', 'Aerials Won', '15')]","[('6', 'Clearances', '33')]","[('1', 'Offsides', '1')]","[('2', 'Goal Kicks', '12')]","[('20', 'Throw Ins', '17')]","[('36', 'Long Balls', '58')]"
"[('14', 'Fouls', '18')]","[('6', 'Corners', '3')]","[('36', 'Crosses', '13')]","[('666', 'Touches', '468')]","[('15', 'Tackles', '18')]","[('15', 'Interceptions', '19')]","[('12', 'Aerials Won', '6')]","[('12', 'Clearances', '44')]","[('5', 'Offsides', '1')]","[('4', 'Goal Kicks', '7')]","[('32', 'Throw Ins', '23')]","[('56', 'Long Balls', '58')]"
"[('16', 'Fouls', '14')]","[('6', 'Corners', '3')]","[('20', 'Crosses', '29')]","[('525', 'Touches', '775')]","[('23', 'Tackles', '12')]","[('11', 'Interceptions', '14')]","[('14', 'Aerials Won', '15')]","[('31', 'Clearances', '19')]","[('1', 'Offsides', '3')]","[('9', 'Goal Kicks', '8')]","[('18', 'Throw Ins', '29')]","[('44', 'Long Balls', '45')]"
"[('21', 'Fouls', '24')]","[('5', 'Corners', '8')]","[('19', 'Crosses', '28')]","[('521', 'Touches', '627')]","[('12', 'Tackles', '19')]","[('15', 'Interceptions', '13')]","[('13', 'Aerials Won', '16')]","[('17', 'Clearances', '26')]","[('3', 'Offsides', '9')]","[('9', 'Goal Kicks', '12')]","[('25', 'Throw Ins', '15')]","[('60', 'Long Balls', '58')]"
"[('19', 'Fouls', '18')]","[('3', 'Corners', '3')]","[('13', 'Crosses', '15')]","[('525', 'Touches', '478')]","[('12', 'Tackles', '16')]","[('10', 'Interceptions', '10')]","[('13', 'Aerials Won', '16')]","[('29', 'Clearances', '30')]","[('5', 'Offsides', '2')]","[('10', 'Goal Kicks', '11')]","[('30', 'Throw Ins', '17')]","[('56', 'Long Balls', '67')]"
"[('13', 'Fouls', '17')]","[('13', 'Corners', '7')]","[('25', 'Crosses', '22')]","[('757', 'Touches', '561')]","[('15', 'Tackles', '26')]","[('11', 'Interceptions', '11')]","[('12', 'Aerials Won', '9')]","[('31', 'Clearances', '27')]","[('7', 'Offsides', '1')]","[('8', 'Goal Kicks', '3')]","[('28', 'Throw Ins', '17')]","[('57', 'Long Balls', '54')]"
"[('16', 'Fouls', '23')]","[('10', 'Corners', '2')]","[('23', 'Crosses', '9')]","[('630', 'Touches', '466')]","[('12', 'Tackles', '15')]","[('5', 'Interceptions', '15')]","[('19', 'Aerials Won', '11')]","[('8', 'Clearances', '51')]","[('4', 'Offsides', '0')]","[('6', 'Goal Kicks', '10')]","[('19', 'Throw Ins', '14')]","[('44', 'Long Balls', '56')]"
