,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
703,Atl Paranaense,2–0,Cruzeiro,"7,720",Anderson Daronco,2,0,"https://fbref.com/en/matches/5c936572/Atletico-Paranaense-Cruzeiro-November-10-2018-Serie-A"">Match Report",45%,55%,83%,88%,36%,25%,100%,50%
704,Ceará,1–1,Internacional,"43,575",Dewson Fernando Freitas da Silva,1,1,"https://fbref.com/en/matches/100fc52d/Ceara-Internacional-November-11-2018-Serie-A"">Match Report",40%,60%,83%,84%,24%,80%,75%,80%
705,Vitória,2–2,Bahia,"21,714",Luiz Flávio de Oliveira,2,2,"https://fbref.com/en/matches/ef8080d3/Vitoria-Bahia-November-11-2018-Serie-A"">Match Report",50%,50%,73%,70%,33%,18%,0%,66%
706,Grêmio,2–1,Vasco da Gama,"20,763",Raphael Claus,2,1,"https://fbref.com/en/matches/673d5819/Gremio-Vasco-da-Gama-November-11-2018-Serie-A"">Match Report",71%,29%,89%,71%,21%,33%,50%,25%
707,Atlético Mineiro,1–1,Palmeiras,"20,488",Wilton Sampaio,1,1,"https://fbref.com/en/matches/19118acd/Atletico-Mineiro-Palmeiras-November-11-2018-Serie-A"">Match Report",55%,45%,79%,73%,44%,43%,66%,87%
708,Fluminense,0–0,Sport Recife,"12,256",Flavio Rodrigues De Souza,0,0,"https://fbref.com/en/matches/f5b6fb60/Fluminense-Sport-Recife-November-11-2018-Serie-A"">Match Report",61%,39%,85%,73%,44%,0%,%,100%
709,Santos,0–1,Chapecoense,"12,659",Rafael Traci,0,1,"https://fbref.com/en/matches/ae7cc535/Santos-Chapecoense-November-12-2018-Serie-A"">Match Report",63%,37%,79%,61%,11%,43%,66%,100%
710,Vasco da Gama,1–1,Atl Paranaense,"20,917",Leandro Pedro Vuaden,1,1,"https://fbref.com/en/matches/95600054/Vasco-da-Gama-Atletico-Paranaense-November-14-2018-Serie-A"">Match Report",46%,54%,83%,84%,50%,29%,80%,87%
711,Bahia,2–1,Ceará,"17,825",Raphael Claus,2,1,"https://fbref.com/en/matches/3953b88f/Bahia-Ceara-November-14-2018-Serie-A"">Match Report",62%,38%,86%,79%,48%,43%,66%,81%
712,Paraná,0–1,Atlético Mineiro,"1,140",Wagner do Nascimento Magalhaes,0,1,"https://fbref.com/en/matches/30843fac/Parana-Atletico-Mineiro-November-14-2018-Serie-A"">Match Report",24%,76%,67%,90%,20%,36%,75%,100%
713,Sport Recife,0–0,Vitória,"22,652",Anderson Daronco,0,0,"https://fbref.com/en/matches/ab126d49/Sport-Recife-Vitoria-November-14-2018-Serie-A"">Match Report",55%,45%,74%,75%,14%,46%,100%,100%
714,Palmeiras,3–0,Fluminense,"37,430",Braulio da Silva Machado,3,0,"https://fbref.com/en/matches/97f946ba/Palmeiras-Fluminense-November-14-2018-Serie-A"">Match Report",47%,53%,76%,80%,37%,40%,100%,57%
715,Cruzeiro,1–0,Corinthians,"15,520",Jean Pierre Goncalves Lima,1,0,"https://fbref.com/en/matches/ce2d0306/Cruzeiro-Corinthians-November-14-2018-Serie-A"">Match Report",47%,53%,85%,87%,38%,36%,100%,80%
716,Chapecoense,0–1,Botafogo (RJ),"17,261",Luiz Flávio de Oliveira,0,1,"https://fbref.com/en/matches/15488198/Chapecoense-Botafogo-RJ-November-15-2018-Serie-A"">Match Report",50%,50%,73%,72%,22%,40%,75%,100%
717,Flamengo,1–0,Santos,"46,067",Paulo Roberto Alves Júnior,1,0,"https://fbref.com/en/matches/4660a829/Flamengo-Santos-November-15-2018-Serie-A"">Match Report",56%,44%,84%,80%,20%,36%,100%,75%
718,São Paulo,1–1,Grêmio,"24,757",Péricles Bassols Pegado Cortez,1,1,"https://fbref.com/en/matches/d83cda2a/Sao-Paulo-Gremio-November-15-2018-Serie-A"">Match Report",58%,42%,83%,77%,33%,50%,33%,100%
719,Internacional,2–0,América (MG),"26,476",Wilton Sampaio,2,0,"https://fbref.com/en/matches/87d5d5ed/Internacional-America-MG-November-15-2018-Serie-A"">Match Report",47%,53%,84%,87%,42%,20%,100%,60%
720,Vitória,1–2,Atl Paranaense,"8,440",Flavio Rodrigues De Souza,1,2,"https://fbref.com/en/matches/28edbf9d/Vitoria-Atletico-Paranaense-November-17-2018-Serie-A"">Match Report",52%,48%,87%,85%,18%,35%,83%,50%
721,Corinthians,1–0,Vasco da Gama,"38,605",Wilton Sampaio,1,0,"https://fbref.com/en/matches/95b8e0cf/Corinthians-Vasco-da-Gama-November-17-2018-Serie-A"">Match Report",44%,56%,72%,75%,17%,19%,100%,50%
722,Atlético Mineiro,1–0,Bahia,"17,313",Marcelo Aparecido Ribeiro De Souza,1,0,"https://fbref.com/en/matches/11419311/Atletico-Mineiro-Bahia-November-17-2018-Serie-A"">Match Report",50%,50%,75%,79%,33%,25%,100%,75%
723,Sport Recife,0–1,Flamengo,"26,005",Raphael Claus,0,1,"https://fbref.com/en/matches/5870ae36/Sport-Recife-Flamengo-November-18-2018-Serie-A"">Match Report",58%,42%,82%,70%,15%,38%,80%,100%
724,América (MG),2–1,Santos,"4,652",Dewson Fernando Freitas da Silva,2,1,"https://fbref.com/en/matches/294a509b/America-MG-Santos-November-18-2018-Serie-A"">Match Report",49%,52%,81%,83%,44%,38%,66%,71%
725,Paraná,1–1,Palmeiras,"25,076",Bruno Arleu de Araujo,1,1,"https://fbref.com/en/matches/bdea94be/Parana-Palmeiras-November-18-2018-Serie-A"">Match Report",35%,65%,64%,80%,33%,32%,85%,66%
726,Botafogo (RJ),1–0,Internacional,"19,006",Rafael Traci,1,0,"https://fbref.com/en/matches/a11ef154/Botafogo-RJ-Internacional-November-18-2018-Serie-A"">Match Report",40%,60%,75%,83%,33%,20%,100%,75%
727,São Paulo,1–0,Cruzeiro,"14,058",Heber Roberto Lopes,1,0,"https://fbref.com/en/matches/893d08b6/Sao-Paulo-Cruzeiro-November-18-2018-Serie-A"">Match Report",51%,49%,79%,80%,38%,0%,%,66%
728,Grêmio,2–0,Chapecoense,"13,266",Leandro Bizzio Marinho,2,0,"https://fbref.com/en/matches/249fd0f1/Gremio-Chapecoense-November-18-2018-Serie-A"">Match Report",65%,35%,89%,75%,69%,30%,100%,81%
729,Fluminense,0–0,Ceará,"6,435",Anderson Daronco,0,0,"https://fbref.com/en/matches/910c2632/Fluminense-Ceara-November-19-2018-Serie-A"">Match Report",58%,42%,80%,69%,15%,17%,100%,100%
730,Internacional,1–2,Atlético Mineiro,"23,085",Raphael Claus,1,2,"https://fbref.com/en/matches/984a17c6/Internacional-Atletico-Mineiro-November-21-2018-Serie-A"">Match Report",54%,46%,77%,75%,20%,17%,0%,33%
731,Santos,1–1,Botafogo (RJ),"3,620",Heber Roberto Lopes,1,1,"https://fbref.com/en/matches/daf72d25/Santos-Botafogo-RJ-November-21-2018-Serie-A"">Match Report",51%,49%,85%,84%,32%,20%,66%,83%
732,Palmeiras,4–0,América (MG),"39,429",Paulo Roberto Alves Júnior,4,0,"https://fbref.com/en/matches/e16031c4/Palmeiras-America-MG-November-21-2018-Serie-A"">Match Report",49%,51%,79%,76%,38%,100%,100%,55%
733,Atl Paranaense,1–0,Corinthians,"14,320",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/aedf0fd7/Atletico-Paranaense-Corinthians-November-21-2018-Serie-A"">Match Report",50%,50%,83%,83%,41%,10%,100%,85%
734,Flamengo,2–0,Grêmio,"36,978",Braulio da Silva Machado,2,0,"https://fbref.com/en/matches/c753f724/Flamengo-Gremio-November-21-2018-Serie-A"">Match Report",43%,57%,82%,85%,39%,31%,80%,57%
735,Cruzeiro,3–0,Vitória,"4,038",Leandro Bizzio Marinho,3,0,"https://fbref.com/en/matches/0664ed94/Cruzeiro-Vitoria-November-21-2018-Serie-A"">Match Report",53%,47%,87%,88%,54%,6%,100%,71%
736,Vasco da Gama,2–0,São Paulo,"1,123",Anderson Daronco,2,0,"https://fbref.com/en/matches/f196fc77/Vasco-da-Gama-Sao-Paulo-November-22-2018-Serie-A"">Match Report",35%,65%,73%,85%,25%,20%,100%,0%
737,Bahia,2–0,Fluminense,"16,784",Flavio Rodrigues De Souza,2,0,"https://fbref.com/en/matches/e7289ed6/Bahia-Fluminense-November-22-2018-Serie-A"">Match Report",55%,45%,81%,77%,54%,17%,100%,71%
738,Ceará,1–0,Paraná,"48,824",Luiz Flávio de Oliveira,1,0,"https://fbref.com/en/matches/3296caaf/Ceara-Parana-November-22-2018-Serie-A"">Match Report",59%,41%,82%,75%,35%,0%,%,83%
739,Chapecoense,2–1,Sport Recife,"12,384",Leandro Pedro Vuaden,2,1,"https://fbref.com/en/matches/152cad2e/Chapecoense-Sport-Recife-November-22-2018-Serie-A"">Match Report",36%,64%,69%,79%,44%,58%,71%,75%
740,Santos,3–2,Atlético Mineiro,"4,591",Leandro Pedro Vuaden,3,2,"https://fbref.com/en/matches/62c5fc30/Santos-Atletico-Mineiro-November-24-2018-Serie-A"">Match Report",41%,59%,79%,87%,43%,25%,50%,66%
741,Vitória,0–0,Grêmio,"4,283",Raphael Claus,0,0,"https://fbref.com/en/matches/7b665db8/Vitoria-Gremio-November-25-2018-Serie-A"">Match Report",39%,61%,82%,85%,23%,37%,100%,100%
742,Cruzeiro,0–2,Flamengo,"29,369",Jean Pierre Goncalves Lima,0,2,"https://fbref.com/en/matches/6f699a8a/Cruzeiro-Flamengo-November-25-2018-Serie-A"">Match Report",56%,44%,88%,80%,29%,50%,60%,57%
743,Vasco da Gama,0–1,Palmeiras,"22,957",Rafael Traci,0,1,"https://fbref.com/en/matches/44ab2ae5/Vasco-da-Gama-Palmeiras-November-25-2018-Serie-A"">Match Report",50%,50%,79%,79%,33%,33%,66%,100%
744,Atl Paranaense,2–2,Ceará,"9,632",Leandro Bizzio Marinho,2,2,"https://fbref.com/en/matches/6b0c64a2/Atletico-Paranaense-Ceara-November-25-2018-Serie-A"">Match Report",65%,35%,88%,73%,18%,38%,60%,33%
745,Internacional,2–0,Fluminense,"28,446",Heber Roberto Lopes,2,0,"https://fbref.com/en/matches/23cb4cac/Internacional-Fluminense-November-25-2018-Serie-A"">Match Report",62%,38%,82%,74%,14%,30%,100%,33%
