,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
51,Vasco da Gama,2–1,Sport Recife,"10,273",Caio Max Augusto Vieira,2,1,"https://fbref.com/en/matches/f08181a4/Vasco-da-Gama-Sport-Recife-June-10-2017-Serie-A"">Match Report",49%,51%,81%,81%,33%,38%,66%,50%
52,Botafogo (RJ),2–2,Coritiba,"14,866",Flavio Rodrigues De Souza,2,2,"https://fbref.com/en/matches/e9214056/Botafogo-RJ-Coritiba-June-11-2017-Serie-A"">Match Report",53%,47%,80%,77%,46%,50%,50%,66%
53,Vitória,2–0,Atlético Mineiro,"6,812",Raphael Claus,2,0,"https://fbref.com/en/matches/a2fe58fd/Vitoria-Atletico-Mineiro-June-11-2017-Serie-A"">Match Report",42%,58%,68%,79%,50%,11%,100%,33%
54,Corinthians,3–2,São Paulo,"42,443",Ricardo Marques Ribeiro,3,2,"https://fbref.com/en/matches/4f24bcef/Classico-Majestoso-Corinthians-Sao-Paulo-June-11-2017-Serie-A"">Match Report",55%,45%,84%,79%,55%,33%,50%,50%
55,Avaí,1–1,Flamengo,"13,448",Paulo Henrique Schleinch Vollkopf,1,1,"https://fbref.com/en/matches/6e1ee36f/Avai-Flamengo-June-11-2017-Serie-A"">Match Report",39%,61%,72%,79%,8%,33%,66%,0%
56,Ponte Preta,3–2,Chapecoense,"4,105",Dewson Fernando Freitas da Silva,3,2,"https://fbref.com/en/matches/5f9a6fe7/Ponte-Preta-Chapecoense-June-11-2017-Serie-A"">Match Report",35%,65%,66%,79%,60%,41%,57%,0%
57,Cruzeiro,2–0,Atl Goianiense,"9,912",Joao Batista de Arruda,2,0,"https://fbref.com/en/matches/e15197e9/Cruzeiro-Atletico-Goianiense-June-11-2017-Serie-A"">Match Report",70%,30%,85%,66%,47%,50%,100%,77%
58,Atl Paranaense,0–2,Santos,"18,112",Marcelo de Lima Henrique,0,2,"https://fbref.com/en/matches/939e2bd4/Atletico-Paranaense-Santos-June-11-2017-Serie-A"">Match Report",57%,43%,82%,78%,13%,50%,60%,100%
59,Grêmio,1–0,Bahia,"22,103",Eduardo Tomaz De Aquino Valadão,1,0,"https://fbref.com/en/matches/783c98f1/Gremio-Bahia-June-12-2017-Serie-A"">Match Report",64%,36%,87%,76%,32%,43%,100%,66%
60,Atlético Mineiro,0–1,Atl Paranaense,"10,924",Pericles Bassols Pegado Cortez,0,1,"https://fbref.com/en/matches/4185f5c8/Atletico-Mineiro-Atletico-Paranaense-June-14-2017-Serie-A"">Match Report",69%,31%,83%,62%,12%,29%,50%,100%
61,Vitória,2–2,Botafogo (RJ),"8,877",Anderson Daronco,2,2,"https://fbref.com/en/matches/f98fd403/Vitoria-Botafogo-RJ-June-14-2017-Serie-A"">Match Report",54%,46%,79%,72%,20%,50%,62%,33%
62,Atl Goianiense,3–1,Avaí,"2,572",Leandro Bizzio Marinho,3,1,"https://fbref.com/en/matches/ed76589e/Atletico-Goianiense-Avai-June-14-2017-Serie-A"">Match Report",47%,53%,74%,79%,29%,33%,0%,40%
63,Sport Recife,0–0,São Paulo,"10,810",Heber Roberto Lopes,0,0,"https://fbref.com/en/matches/de13ffc6/Sport-Recife-Sao-Paulo-June-14-2017-Serie-A"">Match Report",57%,43%,81%,75%,43%,14%,100%,100%
64,Flamengo,2–0,Ponte Preta,"13,981",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/a2500203/Flamengo-Ponte-Preta-June-14-2017-Serie-A"">Match Report",56%,44%,81%,78%,22%,21%,100%,60%
65,Corinthians,1–0,Cruzeiro,"30,465",Leandro Pedro Vuaden,1,0,"https://fbref.com/en/matches/967dbae8/Corinthians-Cruzeiro-June-14-2017-Serie-A"">Match Report",52%,48%,83%,82%,43%,12%,100%,66%
66,Santos,1–0,Palmeiras,"10,143",Wilton Sampaio,1,0,"https://fbref.com/en/matches/33436164/Santos-Palmeiras-June-14-2017-Serie-A"">Match Report",46%,54%,78%,82%,56%,38%,100%,80%
67,Chapecoense,2–1,Vasco da Gama,"10,003",Jailson Macêdo Freitas,2,1,"https://fbref.com/en/matches/9210707d/Chapecoense-Vasco-da-Gama-June-14-2017-Serie-A"">Match Report",51%,49%,78%,73%,63%,40%,50%,80%
68,Coritiba,0–0,Bahia,"19,534",Wagner Reway,0,0,"https://fbref.com/en/matches/b66fd939/Coritiba-Bahia-June-15-2017-Serie-A"">Match Report",48%,52%,76%,74%,14%,30%,100%,100%
69,Fluminense,0–2,Grêmio,"11,652",Elmo Alves Resende Cunha,0,2,"https://fbref.com/en/matches/bd74c533/Fluminense-Gremio-June-15-2017-Serie-A"">Match Report",50%,50%,86%,82%,31%,33%,50%,50%
70,Atl Goianiense,0–1,Atl Paranaense,"4,420",Bruno Arleu de Araujo,0,1,"https://fbref.com/en/matches/16ee379b/Atletico-Goianiense-Atletico-Paranaense-June-17-2017-Serie-A"">Match Report",66%,34%,88%,74%,26%,44%,50%,100%
71,Vasco da Gama,1–0,Avaí,"10,993",Rafael Traci,1,0,"https://fbref.com/en/matches/3c811740/Vasco-da-Gama-Avai-June-17-2017-Serie-A"">Match Report",49%,51%,79%,78%,31%,36%,100%,80%
72,Santos,0–0,Ponte Preta,"19,984",Igor Junior Benevenuto,0,0,"https://fbref.com/en/matches/360316a3/Santos-Ponte-Preta-June-17-2017-Serie-A"">Match Report",58%,42%,87%,82%,31%,22%,100%,100%
73,Coritiba,0–0,Corinthians,"19,534",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/708cca81/Coritiba-Corinthians-June-18-2017-Serie-A"">Match Report",46%,54%,76%,80%,42%,0%,%,100%
74,Fluminense,2–2,Flamengo,"33,112",Vinicius Gonçalves Dias Araujo,2,2,"https://fbref.com/en/matches/a03966f0/Fluminense-Flamengo-June-18-2017-Serie-A"">Match Report",40%,60%,70%,80%,33%,36%,60%,50%
75,Bahia,2–4,Palmeiras,"33,186",Rodolpho Toski Marques,2,4,"https://fbref.com/en/matches/2fefa71d/Bahia-Palmeiras-June-18-2017-Serie-A"">Match Report",62%,38%,79%,62%,60%,38%,16%,77%
76,São Paulo,1–2,Atlético Mineiro,"22,704",Braulio da Silva Machado,1,2,"https://fbref.com/en/matches/0fb34bfe/Sao-Paulo-Atletico-Mineiro-June-18-2017-Serie-A"">Match Report",60%,41%,79%,72%,17%,38%,66%,50%
77,Chapecoense,0–2,Botafogo (RJ),"11,603",Marcelo Aparecido Ribeiro De Souza,0,2,"https://fbref.com/en/matches/4746d136/Chapecoense-Botafogo-RJ-June-18-2017-Serie-A"">Match Report",59%,41%,82%,69%,29%,57%,50%,100%
78,Sport Recife,1–3,Vitória,"6,061",André Luiz de Freitas Castro,1,3,"https://fbref.com/en/matches/fc690d2f/Sport-Recife-Vitoria-June-18-2017-Serie-A"">Match Report",57%,43%,82%,77%,55%,46%,50%,83%
79,Cruzeiro,3–3,Grêmio,"20,384",Raphael Claus,3,3,"https://fbref.com/en/matches/f2fc2a29/Cruzeiro-Gremio-June-19-2017-Serie-A"">Match Report",55%,45%,82%,77%,29%,47%,57%,40%
80,Vitória,0–2,Santos,"7,855",Heber Roberto Lopes,0,2,"https://fbref.com/en/matches/4fd4a78d/Vitoria-Santos-June-21-2017-Serie-A"">Match Report",59%,41%,81%,69%,18%,60%,50%,100%
81,Botafogo (RJ),3–1,Vasco da Gama,"15,048",Leandro Pedro Vuaden,3,1,"https://fbref.com/en/matches/87a2422e/Botafogo-RJ-Vasco-da-Gama-June-21-2017-Serie-A"">Match Report",44%,56%,76%,84%,50%,19%,66%,0%
82,Palmeiras,1–0,Atl Goianiense,"29,014",Antonio Dib Moraes de Sousa,1,0,"https://fbref.com/en/matches/8ade5af9/Palmeiras-Atletico-Goianiense-June-21-2017-Serie-A"">Match Report",68%,32%,85%,67%,33%,56%,80%,75%
83,Atlético Mineiro,2–2,Sport Recife,"12,027",Wilton Sampaio,2,2,"https://fbref.com/en/matches/39d87850/Atletico-Mineiro-Sport-Recife-June-21-2017-Serie-A"">Match Report",52%,48%,76%,75%,40%,50%,66%,0%
84,Atl Paranaense,1–0,São Paulo,"19,150",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/0c8ce239/Atletico-Paranaense-Sao-Paulo-June-21-2017-Serie-A"">Match Report",34%,66%,73%,87%,55%,18%,100%,83%
85,Avaí,0–3,Fluminense,"5,239",Marielson Alves Silva,0,3,"https://fbref.com/en/matches/10893db9/Avai-Fluminense-June-21-2017-Serie-A"">Match Report",49%,51%,77%,80%,38%,31%,40%,100%
86,Corinthians,3–0,Bahia,"34,250",Dewson Fernando Freitas da Silva,3,0,"https://fbref.com/en/matches/c41b6dc4/Corinthians-Bahia-June-22-2017-Serie-A"">Match Report",49%,51%,86%,89%,33%,6%,100%,40%
87,Ponte Preta,1–0,Cruzeiro,"4,707",Grazianni Maciel Rocha,1,0,"https://fbref.com/en/matches/c410f71e/Ponte-Preta-Cruzeiro-June-22-2017-Serie-A"">Match Report",51%,49%,77%,79%,17%,25%,100%,0%
88,Grêmio,2–0,Coritiba,"19,035",Pericles Bassols Pegado Cortez,2,0,"https://fbref.com/en/matches/c7185f8c/Gremio-Coritiba-June-22-2017-Serie-A"">Match Report",52%,48%,82%,79%,71%,55%,100%,83%
89,Flamengo,5–1,Chapecoense,"14,632",Leandro Bizzio Marinho,5,1,"https://fbref.com/en/matches/37304b15/Flamengo-Chapecoense-June-22-2017-Serie-A"">Match Report",52%,48%,80%,77%,55%,17%,50%,54%
90,Santos,0–1,Sport Recife,"7,272",Rafael Traci,0,1,"https://fbref.com/en/matches/f10ade88/Santos-Sport-Recife-June-24-2017-Serie-A"">Match Report",57%,43%,81%,78%,33%,33%,66%,100%
91,Vasco da Gama,1–0,Atl Goianiense,"20,658",Dyorgines José Padovani Andrade,1,0,"https://fbref.com/en/matches/3cc2cc99/Vasco-da-Gama-Atletico-Goianiense-June-25-2017-Serie-A"">Match Report",52%,48%,80%,74%,42%,50%,100%,80%
92,Atl Paranaense,4–1,Vitória,"15,770",Rodrigo Batista Raposo,4,1,"https://fbref.com/en/matches/ced40df9/Atletico-Paranaense-Vitoria-June-25-2017-Serie-A"">Match Report",48%,52%,81%,84%,73%,25%,66%,63%
93,Cruzeiro,2–0,Coritiba,"11,778",Marcelo Aparecido Ribeiro De Souza,2,0,"https://fbref.com/en/matches/2517e4d8/Cruzeiro-Coritiba-June-25-2017-Serie-A"">Match Report",55%,46%,76%,70%,41%,22%,100%,77%
94,Grêmio,0–1,Corinthians,"50,116",Wilton Sampaio,0,1,"https://fbref.com/en/matches/8069f27a/Gremio-Corinthians-June-25-2017-Serie-A"">Match Report",57%,43%,86%,80%,43%,60%,66%,100%
95,Ponte Preta,1–2,Palmeiras,"6,051",Wagner Reway,1,2,"https://fbref.com/en/matches/449f465a/Ponte-Preta-Palmeiras-June-25-2017-Serie-A"">Match Report",55%,45%,76%,69%,13%,33%,0%,0%
96,São Paulo,1–1,Fluminense,"17,742",Anderson Daronco,1,1,"https://fbref.com/en/matches/2f57fba4/Sao-Paulo-Fluminense-June-25-2017-Serie-A"">Match Report",52%,48%,78%,77%,20%,78%,71%,66%
97,Bahia,0–1,Flamengo,"21,929",Igor Junior Benevenuto,0,1,"https://fbref.com/en/matches/8f63aabf/Bahia-Flamengo-June-25-2017-Serie-A"">Match Report",43%,57%,78%,85%,21%,36%,75%,100%
98,Chapecoense,0–1,Atlético Mineiro,"9,013",Joao Batista de Arruda,0,1,"https://fbref.com/en/matches/2a24fd48/Chapecoense-Atletico-Mineiro-June-25-2017-Serie-A"">Match Report",67%,33%,75%,55%,7%,60%,66%,100%
99,Botafogo (RJ),0–2,Avaí,"22,819",Caio Max Augusto Vieira,0,2,"https://fbref.com/en/matches/5e1d2f7c/Botafogo-RJ-Avai-June-26-2017-Serie-A"">Match Report",73%,27%,87%,65%,30%,25%,0%,88%
100,Palmeiras,1–0,Grêmio,"31,395",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/cc8a87f0/Palmeiras-Gremio-July-1-2017-Serie-A"">Match Report",60%,40%,83%,73%,8%,40%,100%,100%
101,Atl Goianiense,1–1,Santos,"5,898",Claudio Francisco Lima e Silva,1,1,"https://fbref.com/en/matches/925b41b4/Atletico-Goianiense-Santos-July-1-2017-Serie-A"">Match Report",33%,67%,71%,89%,25%,15%,50%,75%
102,Atlético Mineiro,3–1,Cruzeiro,"17,251",Anderson Daronco,3,1,"https://fbref.com/en/matches/4db2a358/Atletico-Mineiro-Cruzeiro-July-2-2017-Serie-A"">Match Report",47%,53%,69%,71%,36%,44%,75%,25%
103,Sport Recife,1–0,Atl Paranaense,"11,031",Grazianni Maciel Rocha,1,0,"https://fbref.com/en/matches/7d700b12/Sport-Recife-Atletico-Paranaense-July-2-2017-Serie-A"">Match Report",58%,42%,84%,79%,16%,50%,100%,66%
104,Flamengo,2–0,São Paulo,"17,302",Leandro Pedro Vuaden,2,0,"https://fbref.com/en/matches/9485833a/Flamengo-Sao-Paulo-July-2-2017-Serie-A"">Match Report",48%,52%,81%,85%,50%,25%,66%,71%
105,Vitória,0–0,Bahia,"10,741",Raphael Claus,0,0,"https://fbref.com/en/matches/308882ce/Vitoria-Bahia-July-2-2017-Serie-A"">Match Report",55%,45%,79%,73%,33%,17%,100%,85%
106,Corinthians,1–0,Botafogo (RJ),"40,341",Rodolpho Toski Marques,1,0,"https://fbref.com/en/matches/ea297afb/Corinthians-Botafogo-RJ-July-2-2017-Serie-A"">Match Report",66%,34%,89%,75%,50%,0%,%,88%
107,Avaí,0–0,Ponte Preta,"5,697",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/e731a817/Avai-Ponte-Preta-July-2-2017-Serie-A"">Match Report",44%,56%,78%,81%,30%,19%,100%,100%
108,Coritiba,2–2,Vasco da Gama,"8,020",Emerson De Almeida Ferreira,2,2,"https://fbref.com/en/matches/b2893ba6/Coritiba-Vasco-da-Gama-July-2-2017-Serie-A"">Match Report",61%,39%,80%,67%,29%,40%,50%,50%
109,Fluminense,3–3,Chapecoense,"7,536",Eduardo Tomaz De Aquino Valadão,3,3,"https://fbref.com/en/matches/8c13d55b/Fluminense-Chapecoense-July-3-2017-Serie-A"">Match Report",69%,31%,85%,70%,67%,30%,57%,62%
110,Atl Goianiense,1–2,Vitória,"2,857",Rafael Traci,1,2,"https://fbref.com/en/matches/cd8ab484/Atletico-Goianiense-Vitoria-July-8-2017-Serie-A"">Match Report",51%,49%,75%,75%,28%,67%,66%,80%
111,Vasco da Gama,0–1,Flamengo,"19,622",Anderson Daronco,0,1,"https://fbref.com/en/matches/30e15170/Classico-dos-Milhoes-Vasco-da-Gama-Flamengo-July-8-2017-Serie-A"">Match Report",41%,59%,74%,82%,10%,33%,66%,100%
112,Corinthians,2–0,Ponte Preta,"32,877",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/fbe5d8f5/Corinthians-Ponte-Preta-July-8-2017-Serie-A"">Match Report",49%,51%,82%,85%,62%,26%,100%,75%
113,Chapecoense,1–1,Atl Paranaense,"9,689",Caio Max Augusto Vieira,1,1,"https://fbref.com/en/matches/6e0d01e6/Chapecoense-Atletico-Paranaense-July-9-2017-Serie-A"">Match Report",44%,56%,80%,83%,24%,75%,66%,83%
114,Grêmio,0–2,Avaí,"27,222",Wagner Reway,0,2,"https://fbref.com/en/matches/d1e655a5/Gremio-Avai-July-9-2017-Serie-A"">Match Report",73%,27%,87%,65%,58%,38%,33%,100%
115,Bahia,1–1,Fluminense,"18,267",Flavio Rodrigues De Souza,1,1,"https://fbref.com/en/matches/199a3a26/Bahia-Fluminense-July-9-2017-Serie-A"">Match Report",72%,28%,89%,69%,26%,29%,0%,80%
116,Cruzeiro,3–1,Palmeiras,"19,090",Pericles Bassols Pegado Cortez,3,1,"https://fbref.com/en/matches/3d90d5c2/Cruzeiro-Palmeiras-July-9-2017-Serie-A"">Match Report",38%,62%,77%,81%,64%,13%,0%,42%
117,Santos,3–2,São Paulo,"10,322",Sandro Ricci,3,2,"https://fbref.com/en/matches/6ea0ee76/Santos-Sao-Paulo-July-9-2017-Serie-A"">Match Report",51%,49%,83%,82%,47%,36%,60%,62%
118,Botafogo (RJ),1–1,Atlético Mineiro,"9,630",Wilton Sampaio,1,1,"https://fbref.com/en/matches/ef0c2c47/Botafogo-RJ-Atletico-Mineiro-July-9-2017-Serie-A"">Match Report",56%,44%,81%,79%,27%,67%,83%,66%
119,Coritiba,0–3,Sport Recife,"10,192",Jailson Macêdo Freitas,0,3,"https://fbref.com/en/matches/b79d47eb/Coritiba-Sport-Recife-July-10-2017-Serie-A"">Match Report",59%,41%,80%,72%,38%,50%,66%,100%
120,Atlético Mineiro,0–1,Santos,"12,949",Marcelo de Lima Henrique,0,1,"https://fbref.com/en/matches/e080deb8/Atletico-Mineiro-Santos-July-12-2017-Serie-A"">Match Report",63%,37%,84%,75%,29%,30%,66%,85%
121,Ponte Preta,0–3,Bahia,"4,181",Rafael Traci,0,3,"https://fbref.com/en/matches/c3835738/Ponte-Preta-Bahia-July-12-2017-Serie-A"">Match Report",66%,34%,88%,75%,33%,64%,57%,100%
122,Fluminense,0–1,Botafogo (RJ),"14,851",Wagner Reway,0,1,"https://fbref.com/en/matches/cf4f74bd/Fluminense-Botafogo-RJ-July-12-2017-Serie-A"">Match Report",57%,43%,85%,80%,0%,31%,80%,%
123,Vitória,1–4,Vasco da Gama,"5,548",Antonio Dib Moraes de Sousa,1,4,"https://fbref.com/en/matches/46f4d072/Vitoria-Vasco-da-Gama-July-12-2017-Serie-A"">Match Report",67%,33%,79%,66%,29%,40%,25%,80%
124,Atl Paranaense,0–2,Cruzeiro,"13,897",Braulio da Silva Machado,0,2,"https://fbref.com/en/matches/90b1d81b/Atletico-Paranaense-Cruzeiro-July-12-2017-Serie-A"">Match Report",61%,39%,86%,80%,46%,33%,60%,100%
125,Palmeiras,0–2,Corinthians,"39,091",Leandro Pedro Vuaden,0,2,"https://fbref.com/en/matches/23a8f0dd/Palmeiras-Corinthians-July-12-2017-Serie-A"">Match Report",61%,39%,80%,69%,17%,67%,0%,100%
126,Flamengo,0–1,Grêmio,"18,204",Marcelo Aparecido Ribeiro De Souza,0,1,"https://fbref.com/en/matches/e8991fc9/Flamengo-Gremio-July-13-2017-Serie-A"">Match Report",61%,39%,84%,76%,30%,75%,66%,100%
127,São Paulo,2–2,Atl Goianiense,"31,333",Marielson Alves Silva,2,2,"https://fbref.com/en/matches/e111c27f/Sao-Paulo-Atletico-Goianiense-July-13-2017-Serie-A"">Match Report",74%,26%,88%,67%,21%,27%,33%,50%
128,Sport Recife,3–0,Chapecoense,"25,861",Dyorgines José Padovani Andrade,3,0,"https://fbref.com/en/matches/23082f03/Sport-Recife-Chapecoense-July-13-2017-Serie-A"">Match Report",53%,47%,76%,76%,50%,11%,100%,40%
129,Avaí,1–4,Coritiba,"6,552",Raphael Claus,1,4,"https://fbref.com/en/matches/21958295/Avai-Coritiba-July-13-2017-Serie-A"">Match Report",64%,37%,81%,67%,22%,89%,50%,50%
130,Corinthians,2–2,Atl Paranaense,"41,201",Sandro Ricci,2,2,"https://fbref.com/en/matches/f8c38527/Corinthians-Atletico-Paranaense-July-15-2017-Serie-A"">Match Report",63%,37%,84%,75%,47%,36%,50%,77%
131,Palmeiras,4–2,Vitória,"36,263",Bruno Arleu de Araujo,4,2,"https://fbref.com/en/matches/432ec691/Palmeiras-Vitoria-July-16-2017-Serie-A"">Match Report",56%,44%,83%,73%,40%,29%,0%,33%
132,Cruzeiro,1–1,Flamengo,"43,439",Rodolpho Toski Marques,1,1,"https://fbref.com/en/matches/ac56b4f6/Cruzeiro-Flamengo-July-16-2017-Serie-A"">Match Report",37%,63%,81%,88%,30%,20%,0%,66%
133,Grêmio,3–1,Ponte Preta,"19,292",Claudio Francisco Lima e Silva,3,1,"https://fbref.com/en/matches/dae8996b/Gremio-Ponte-Preta-July-16-2017-Serie-A"">Match Report",61%,39%,86%,76%,50%,33%,100%,50%
134,Chapecoense,2–0,São Paulo,"10,742",Wagner do Nascimento Magalhaes,2,0,"https://fbref.com/en/matches/4c920734/Chapecoense-Sao-Paulo-July-16-2017-Serie-A"">Match Report",33%,67%,71%,84%,33%,33%,100%,60%
135,Atl Goianiense,1–2,Atlético Mineiro,"5,235",Pablo Dos Santos Alves,1,2,"https://fbref.com/en/matches/6133d424/Atletico-Goianiense-Atletico-Mineiro-July-16-2017-Serie-A"">Match Report",43%,57%,76%,82%,27%,40%,0%,75%
136,Vasco da Gama,0–0,Santos,,Dewson Fernando Freitas da Silva,0,0,"https://fbref.com/en/matches/a804a670/Vasco-da-Gama-Santos-July-16-2017-Serie-A"">Match Report",44%,56%,78%,83%,25%,0%,%,100%
137,Bahia,1–1,Avaí,"12,389",Eduardo Tomaz De Aquino Valadão,1,1,"https://fbref.com/en/matches/9cc79df9/Bahia-Avai-July-16-2017-Serie-A"">Match Report",67%,33%,84%,71%,24%,31%,75%,80%
138,Coritiba,1–2,Fluminense,"10,843",Leandro Bizzio Marinho,1,2,"https://fbref.com/en/matches/2ac85d87/Coritiba-Fluminense-July-16-2017-Serie-A"">Match Report",52%,48%,78%,70%,31%,33%,0%,75%
139,Botafogo (RJ),2–1,Sport Recife,"17,313",Ricardo Marques Ribeiro,2,1,"https://fbref.com/en/matches/acab50f0/Botafogo-RJ-Sport-Recife-July-17-2017-Serie-A"">Match Report",43%,57%,82%,83%,55%,30%,66%,66%
140,Vitória,1–3,Grêmio,"5,541",Pericles Bassols Pegado Cortez,1,3,"https://fbref.com/en/matches/004e7d10/Vitoria-Gremio-July-19-2017-Serie-A"">Match Report",51%,49%,79%,82%,13%,71%,40%,50%
141,Santos,1–0,Chapecoense,"5,533",Elmo Alves Resende Cunha,1,0,"https://fbref.com/en/matches/25cb70de/Santos-Chapecoense-July-19-2017-Serie-A"">Match Report",59%,41%,86%,78%,71%,28%,100%,80%
142,Ponte Preta,4–0,Coritiba,"3,832",Rodrigo Batista Raposo,4,0,"https://fbref.com/en/matches/d15555db/Ponte-Preta-Coritiba-July-19-2017-Serie-A"">Match Report",46%,54%,77%,76%,54%,46%,100%,28%
143,Avaí,0–0,Corinthians,"10,671",Wilton Sampaio,0,0,"https://fbref.com/en/matches/c60bf342/Avai-Corinthians-July-19-2017-Serie-A"">Match Report",27%,73%,72%,88%,15%,32%,100%,100%
144,Flamengo,2–2,Palmeiras,"15,103",Jailson Macêdo Freitas,2,2,"https://fbref.com/en/matches/cbfc56ea/Flamengo-Palmeiras-July-19-2017-Serie-A"">Match Report",62%,38%,82%,72%,37%,71%,60%,85%
145,São Paulo,1–0,Vasco da Gama,"22,574",Wagner Reway,1,0,"https://fbref.com/en/matches/2f7e82f3/Sao-Paulo-Vasco-da-Gama-July-19-2017-Serie-A"">Match Report",45%,56%,77%,82%,27%,46%,83%,66%
146,Atlético Mineiro,0–2,Bahia,"12,177",Marcelo Aparecido Ribeiro De Souza,0,2,"https://fbref.com/en/matches/ae158ab5/Atletico-Mineiro-Bahia-July-19-2017-Serie-A"">Match Report",69%,31%,85%,71%,40%,45%,80%,90%
147,Fluminense,1–1,Cruzeiro,"5,753",Leandro Pedro Vuaden,1,1,"https://fbref.com/en/matches/0f5d7fdf/Fluminense-Cruzeiro-July-20-2017-Serie-A"">Match Report",49%,51%,85%,84%,39%,40%,83%,71%
148,Sport Recife,4–0,Atl Goianiense,"8,809",Dewson Fernando Freitas da Silva,4,0,"https://fbref.com/en/matches/3da727b5/Sport-Recife-Atletico-Goianiense-July-20-2017-Serie-A"">Match Report",51%,49%,62%,58%,63%,21%,100%,20%
149,Atl Paranaense,0–0,Botafogo (RJ),"15,134",Anderson Daronco,0,0,"https://fbref.com/en/matches/b611e9e7/Atletico-Paranaense-Botafogo-RJ-July-20-2017-Serie-A"">Match Report",60%,40%,83%,74%,23%,11%,100%,100%
150,Vitória,1–2,Chapecoense,"5,433",Marcelo de Lima Henrique,1,2,"https://fbref.com/en/matches/765a1061/Vitoria-Chapecoense-July-22-2017-Serie-A"">Match Report",67%,33%,78%,63%,40%,47%,57%,50%
151,Flamengo,2–1,Coritiba,"13,014",Braulio da Silva Machado,2,1,"https://fbref.com/en/matches/f17d8d5f/Flamengo-Coritiba-July-22-2017-Serie-A"">Match Report",50%,50%,77%,79%,33%,33%,66%,66%
152,Santos,3–0,Bahia,"32,869",Wagner do Nascimento Magalhaes,3,0,"https://fbref.com/en/matches/d743bb93/Santos-Bahia-July-23-2017-Serie-A"">Match Report",51%,49%,88%,84%,45%,26%,100%,40%
153,Fluminense,0–1,Corinthians,"23,863",Rafael Traci,0,1,"https://fbref.com/en/matches/7b7d1221/Fluminense-Corinthians-July-23-2017-Serie-A"">Match Report",55%,45%,87%,85%,25%,8%,0%,100%
154,Sport Recife,0–2,Palmeiras,"37,430",Eduardo Tomaz De Aquino Valadão,0,2,"https://fbref.com/en/matches/fe5f5f57/Sport-Recife-Palmeiras-July-23-2017-Serie-A"">Match Report",62%,38%,76%,71%,8%,57%,50%,100%
155,Avaí,1–0,Cruzeiro,"6,590",Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/9754af60/Avai-Cruzeiro-July-23-2017-Serie-A"">Match Report",28%,72%,65%,86%,40%,35%,100%,50%
156,Atlético Mineiro,1–2,Vasco da Gama,"12,497",Raphael Claus,1,2,"https://fbref.com/en/matches/3fcdd527/Atletico-Mineiro-Vasco-da-Gama-July-23-2017-Serie-A"">Match Report",58%,42%,80%,72%,23%,36%,50%,66%
157,Atl Paranaense,0–2,Ponte Preta,"13,661",Pablo Dos Santos Alves,0,2,"https://fbref.com/en/matches/6250c0f6/Atletico-Paranaense-Ponte-Preta-July-23-2017-Serie-A"">Match Report",71%,29%,87%,67%,42%,50%,0%,100%
158,Atl Goianiense,1–1,Botafogo (RJ),"5,462",Caio Max Augusto Vieira,1,1,"https://fbref.com/en/matches/dfe63f14/Atletico-Goianiense-Botafogo-RJ-July-23-2017-Serie-A"">Match Report",51%,49%,84%,80%,19%,33%,75%,80%
159,São Paulo,1–1,Grêmio,"51,511",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/34880ea6/Sao-Paulo-Gremio-July-24-2017-Serie-A"">Match Report",55%,45%,83%,80%,33%,50%,80%,50%
160,Botafogo (RJ),3–4,São Paulo,"17,139",André Luiz de Freitas Castro,3,4,"https://fbref.com/en/matches/8669e588/Botafogo-RJ-Sao-Paulo-July-29-2017-Serie-A"">Match Report",36%,64%,75%,87%,50%,33%,42%,25%
161,Palmeiras,2–0,Avaí,"33,633",Anderson Daronco,2,0,"https://fbref.com/en/matches/acd8da69/Palmeiras-Avai-July-29-2017-Serie-A"">Match Report",71%,29%,88%,72%,20%,11%,100%,33%
162,Chapecoense,1–2,Atl Goianiense,"9,744",Marcelo Aparecido Ribeiro De Souza,1,2,"https://fbref.com/en/matches/7230c6fd/Chapecoense-Atletico-Goianiense-July-30-2017-Serie-A"">Match Report",50%,50%,78%,77%,47%,15%,0%,85%
163,Coritiba,0–2,Atlético Mineiro,"11,564",Wagner do Nascimento Magalhaes,0,2,"https://fbref.com/en/matches/47953ac1/Coritiba-Atletico-Mineiro-July-30-2017-Serie-A"">Match Report",51%,49%,70%,68%,8%,67%,66%,100%
164,Bahia,1–3,Sport Recife,"17,869",Elmo Alves Resende Cunha,1,3,"https://fbref.com/en/matches/1b875401/Bahia-Sport-Recife-July-30-2017-Serie-A"">Match Report",57%,43%,78%,74%,44%,60%,66%,85%
